res,mode,budget,count,avg,std,ts,status,count,Real distance
1x1,LONG,18500,50,494.58,4.758529185,0.02665546,0,50,500
1x1,LONG,18500,50,978.32,3.472405506,0.02734936,0,50,1000
1x1,LONG,18500,50,1480.94,3.596720729,0.02733842,0,50,1500
1x1,LONG,18500,50,1983.82,4.107018383,0.02730954,0,50,2000
1x1,LONG,18500,50,2470.48,6.94331333,0.02729,0,50,2500
1x1,LONG,18500,50,2926.64,8.133289617,0.02725596,0,43,3000
1x1,LONG,18500,50,3327.88,35.46358132,0.0228263,2,39,3500
1x1,LONG,18500,50,3559.42,61.74142532,0.0190248,2,50,4000
1x1,LONG,140000,50,520.96,1.341044369,0.14866418,0,50,500
1x1,LONG,140000,50,1011.84,0.966643678,0.14773004,0,50,1000
1x1,LONG,140000,50,1512.9,1.1,0.1477327,0,50,1500
1x1,LONG,140000,50,2015.44,1.779438114,0.1477509,0,50,2000
1x1,LONG,140000,50,2517.8,2.645751311,0.14759168,0,50,2500
1x1,LONG,140000,50,2986.04,2.622670395,0.14598744,0,50,3000
1x1,LONG,140000,50,3460.5,5.678908346,0.09673796,2,43,3500
1x1,LONG,140000,50,3995.54,8.991573833,0.07847162,2,50,4000
2x2,LONG,70000,50,519.095,4.632059477,0.3081589,0,200,500
2x2,LONG,70000,50,1017.215,2.866840595,0.30804914,0,200,1000
2x2,LONG,70000,50,1516.565,3.788901556,0.30808992,0,200,1500
2x2,LONG,70000,50,2019.91,28.26927484,0.17274338,2,199,2000
2x2,LONG,70000,50,2541.965,17.64210234,0.1727351,2,199,2500
2x2,LONG,70000,50,2957.92,13.03087104,0.1726858,2,199,3000
2x2,LONG,70000,50,3357.545,26.71119569,0.17225834,2,200,3500
2x2,LONG,70000,50,3679.48,61.56882003,0.1720732,2,200,4000
3x3,LONG,33000,50,538.0733333,25.95639848,0.36157776,7,320,500
3x3,LONG,33000,50,1079.464444,68.6954621,0.31482268,7,298,1000
3x3,LONG,33000,50,1605.36,53.4661197,0.2200574,2,449,1500
3x3,LONG,33000,50,2051.962222,45.83560862,0.22001816,2,449,2000
3x3,LONG,33000,50,2519.575556,27.02689735,0.21998834,2,449,2500
3x3,LONG,33000,50,2830.453333,52.56550453,0.22008938,2,449,3000
3x3,LONG,33000,50,2903.153333,144.4347944,0.21966888,2,450,3500
3x3,LONG,33000,50,2798.457778,131.5142214,0.21991188,2,450,4000
4x4,LONG,33000,50,556.71875,38.67621554,0.63776402,7,791,500
4x4,LONG,33000,50,1193.49625,100.4761414,0.39217726,2,799,1000
4x4,LONG,33000,50,1689.52375,99.41130185,0.3902215,2,799,1500
4x4,LONG,33000,50,2090.29625,58.3958773,0.3900486,2,799,2000
4x4,LONG,33000,50,2514.5375,29.49408574,0.39004096,2,799,2500
4x4,LONG,33000,50,2743.19,69.25959428,0.38899818,2,799,3000
4x4,LONG,33000,50,2722.2575,102.4328863,0.3898077,2,799,3500
4x4,LONG,33000,50,2651.135,90.39345538,0.39009814,2,800,4000
